Task,Model,Monthly review size,Reviewed,Events flagged,Total events,Precision,Recall
Onset,Logistic,25,800,10,346,0.013,0.029
Onset,Logistic,50,1600,16,346,0.010,0.046
Onset,Logistic,100,3200,29,346,0.009,0.084
Onset,Logistic,250,8000,65,346,0.008,0.188
Onset,Logistic,500,16000,110,346,0.007,0.318
Onset,Time-only baseline,25,800,0,346,0.000,0.000
Onset,Time-only baseline,50,1600,1,346,0.001,0.003
Onset,Time-only baseline,100,3200,3,346,0.001,0.009
Onset,Time-only baseline,250,8000,5,346,0.001,0.014
Onset,Time-only baseline,500,16000,11,346,0.001,0.032
Onset,LightGBM,25,800,10,346,0.013,0.029
Onset,LightGBM,50,1600,12,346,0.007,0.035
Onset,LightGBM,100,3200,26,346,0.008,0.075
Onset,LightGBM,250,8000,49,346,0.006,0.142
Onset,LightGBM,500,16000,75,346,0.005,0.217
Onset,LightGBM + focal,25,800,11,346,0.014,0.032
Onset,LightGBM + focal,50,1600,21,346,0.013,0.061
Onset,LightGBM + focal,100,3200,29,346,0.009,0.084
Onset,LightGBM + focal,250,8000,56,346,0.007,0.162
Onset,LightGBM + focal,500,16000,98,346,0.006,0.283
Onset,Transformer,25,800,2,346,0.003,0.006
Onset,Transformer,50,1600,9,346,0.006,0.026
Onset,Transformer,100,3200,18,346,0.006,0.052
Onset,Transformer,250,8000,40,346,0.005,0.116
Onset,Transformer,500,16000,90,346,0.006,0.260
Resolution,Logistic,25,800,40,725,0.050,0.055
Resolution,Logistic,50,1600,76,725,0.048,0.105
Resolution,Logistic,100,3200,155,725,0.048,0.214
Resolution,Logistic,250,8000,349,725,0.044,0.481
Resolution,Logistic,500,16000,609,725,0.038,0.840
Resolution,Time-only baseline,25,800,22,725,0.028,0.030
Resolution,Time-only baseline,50,1600,48,725,0.030,0.066
Resolution,Time-only baseline,100,3200,146,725,0.046,0.201
Resolution,Time-only baseline,250,8000,393,725,0.049,0.542
Resolution,Time-only baseline,500,16000,644,725,0.040,0.888
Resolution,LightGBM,25,800,54,725,0.068,0.074
Resolution,LightGBM,50,1600,105,725,0.066,0.145
Resolution,LightGBM,100,3200,180,725,0.056,0.248
Resolution,LightGBM,250,8000,363,725,0.045,0.501
Resolution,LightGBM,500,16000,604,725,0.038,0.833
Resolution,LightGBM + focal,25,800,41,725,0.051,0.057
Resolution,LightGBM + focal,50,1600,68,725,0.043,0.094
Resolution,LightGBM + focal,100,3200,141,725,0.044,0.194
Resolution,LightGBM + focal,250,8000,343,725,0.043,0.473
Resolution,LightGBM + focal,500,16000,636,725,0.040,0.877
Resolution,Transformer,25,800,46,725,0.058,0.063
Resolution,Transformer,50,1600,99,725,0.062,0.137
Resolution,Transformer,100,3200,177,725,0.055,0.244
Resolution,Transformer,250,8000,368,725,0.046,0.508
Resolution,Transformer,500,16000,636,725,0.040,0.877
