Task,Model,Calibration,Evaluation window,N,Events,C-statistic,AUPRC,Brier,ECE,Precision at 100,Platt slope
Onset,Logistic,Original,2024-01 to 2025-08,125300,148,0.780,0.004,0.001,0.001,0.004,0.705
Onset,Logistic,Platt scaled,2024-01 to 2025-08,125300,148,0.780,0.004,0.001,0.001,0.004,0.705
Onset,Time-only baseline,Original,2024-01 to 2025-08,125300,148,0.523,0.001,0.001,0.001,0.001,0.954
Onset,Time-only baseline,Platt scaled,2024-01 to 2025-08,125300,148,0.523,0.001,0.001,0.002,0.001,0.954
Onset,LightGBM,Original,2024-01 to 2025-08,125300,148,0.660,0.002,0.039,0.054,0.003,0.187
Onset,LightGBM,Platt scaled,2024-01 to 2025-08,125300,148,0.660,0.002,0.001,0.001,0.003,0.187
Onset,LightGBM + focal,Original,2024-01 to 2025-08,125300,148,0.746,0.005,0.016,0.114,0.007,1.364
Onset,LightGBM + focal,Platt scaled,2024-01 to 2025-08,125300,148,0.746,0.005,0.001,0.001,0.007,1.364
Onset,Transformer,Original,2024-01 to 2025-08,125300,148,0.707,0.003,0.018,0.113,0.004,2.658
Onset,Transformer,Platt scaled,2024-01 to 2025-08,125300,148,0.707,0.003,0.001,0.001,0.004,2.658
Resolution,Logistic,Original,2024-01 to 2025-08,13095,506,0.599,0.053,0.039,0.024,0.058,0.020
Resolution,Logistic,Platt scaled,2024-01 to 2025-08,13095,506,0.599,0.053,0.037,0.015,0.058,0.020
Resolution,Time-only baseline,Original,2024-01 to 2025-08,13095,506,0.601,0.050,0.037,0.015,0.051,1.993
Resolution,Time-only baseline,Platt scaled,2024-01 to 2025-08,13095,506,0.601,0.050,0.037,0.016,0.051,1.993
Resolution,LightGBM,Original,2024-01 to 2025-08,13095,506,0.624,0.065,0.044,0.064,0.074,0.121
Resolution,LightGBM,Platt scaled,2024-01 to 2025-08,13095,506,0.624,0.065,0.037,0.013,0.074,0.121
Resolution,LightGBM + focal,Original,2024-01 to 2025-08,13095,506,0.558,0.048,0.244,0.455,0.052,2.622
Resolution,LightGBM + focal,Platt scaled,2024-01 to 2025-08,13095,506,0.558,0.048,0.037,0.010,0.052,2.622
Resolution,Transformer,Original,2024-01 to 2025-08,13095,506,0.623,0.060,0.064,0.148,0.068,0.086
Resolution,Transformer,Platt scaled,2024-01 to 2025-08,13095,506,0.623,0.060,0.037,0.015,0.068,0.086
