Architecture,Therapeutic class,N,Events,C-statistic,AUPRC,Brier
Logistic,Corticosteroid,6638,19,0.7804,0.009,0.0029
Logistic,Opioid Agonist,2903,13,0.7566,0.0149,0.0045
Logistic,Central Nervous System Stimulant,1548,11,0.8449,0.0649,0.0069
Logistic,Penicillin-class Antibacterial,1489,9,0.69,0.0235,0.006
Logistic,Serotonin-1b and Serotonin-1d Receptor Agonist,895,8,0.4673,0.043,0.0089
Time-only baseline,Corticosteroid,6638,19,0.4519,0.0031,0.0029
Time-only baseline,Opioid Agonist,2903,13,0.3951,0.004,0.0045
Time-only baseline,Central Nervous System Stimulant,1548,11,0.374,0.0091,0.0071
Time-only baseline,Penicillin-class Antibacterial,1489,9,0.6498,0.0116,0.006
Time-only baseline,Serotonin-1b and Serotonin-1d Receptor Agonist,895,8,0.5291,0.0134,0.0089
LightGBM,Corticosteroid,6638,19,0.6481,0.0098,0.0794
LightGBM,Opioid Agonist,2903,13,0.5359,0.0188,0.143
LightGBM,Central Nervous System Stimulant,1548,11,0.8753,0.072,0.1095
LightGBM,Penicillin-class Antibacterial,1489,9,0.5356,0.008,0.1066
LightGBM,Serotonin-1b and Serotonin-1d Receptor Agonist,895,8,0.5772,0.0305,0.0691
LightGBM + focal,Corticosteroid,6638,19,0.8183,0.0228,0.088
LightGBM + focal,Opioid Agonist,2903,13,0.735,0.0145,0.0913
LightGBM + focal,Central Nervous System Stimulant,1548,11,0.9089,0.0926,0.0928
LightGBM + focal,Penicillin-class Antibacterial,1489,9,0.5709,0.0095,0.0991
LightGBM + focal,Serotonin-1b and Serotonin-1d Receptor Agonist,895,8,0.7331,0.0207,0.092
Transformer,Corticosteroid,6638,19,0.7661,0.0074,0.0346
Transformer,Opioid Agonist,2903,13,0.7633,0.0113,0.0401
Transformer,Central Nervous System Stimulant,1548,11,0.7882,0.0215,0.0388
Transformer,Penicillin-class Antibacterial,1489,9,0.5535,0.0079,0.0421
Transformer,Serotonin-1b and Serotonin-1d Receptor Agonist,895,8,0.6242,0.0132,0.0318
